codine,Total Población,Total Extranjeros,Total Europa,Total Unión Europea (27),Alemania,Francia,Italia,Reino Unido,Bulgaria,Rumanía,Resto de Europa,Rusia,Ucrania,Total Africa,Marruecos,Total América,Argentina,Bolivia,Colombia,Ecuador,Perú,Total Asia,China,Oceanía y Apátridas
03056,11209,624,320,303,5,15,8,194,8,42,17,5,8,172,160,125,30,10,19,35,5,7,6,0
03057,303,48,30,30,7,0,0,16,0,0,0,0,0,0,0,18,0,14,0,4,0,0,0,0
03058,6414,638,161,105,6,15,0,13,22,29,56,1,54,187,183,288,0,7,5,249,0,2,2,0
03059,28172,3217,833,785,67,65,11,427,21,62,48,10,9,1825,1755,525,48,43,239,115,1,33,30,1
03060,138,9,9,7,0,2,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
03061,1761,516,433,412,5,0,1,351,0,4,21,1,3,66,63,16,0,1,5,2,0,1,1,0
03062,459,258,250,247,19,5,2,183,0,0,3,0,0,1,1,7,0,0,0,0,0,0,0,0
03063,42704,12693,8771,7492,2619,439,343,1509,532,792,1279,152,332,572,446,3123,427,98,957,1004,20,224,150,3
03064,6954,953,587,562,28,16,0,403,1,21,25,12,6,280,277,86,0,1,18,18,0,0,0,0
03065,222422,23732,9184,8255,356,416,625,943,471,4451,929,277,185,5600,3643,8136,1030,472,2291,2218,104,803,748,9
03066,55289,3471,851,665,30,47,67,29,52,274,186,27,106,342,222,2139,149,125,1147,409,23,139,112,0
03067,119,3,3,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03068,53,12,12,12,1,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03069,4945,2127,1816,1674,91,95,44,862,51,109,142,15,25,54,42,238,76,1,45,25,12,19,10,0
03070,3518,1287,940,905,10,26,4,717,72,5,35,5,11,220,217,122,4,9,10,89,0,5,4,0
03071,5969,1233,633,628,32,8,8,437,9,60,5,0,2,250,247,337,152,0,105,53,1,13,11,0
03072,376,7,7,7,1,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03073,248,4,3,3,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
03074,2271,222,40,33,0,3,0,9,3,2,7,1,5,104,104,78,0,2,7,49,0,0,0,0
03075,215,42,42,39,9,3,0,9,1,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0
03076,15132,5460,4571,3792,576,76,110,1822,284,173,779,142,252,325,291,388,159,0,46,54,4,174,159,2
03077,2501,904,885,877,98,6,5,537,9,6,8,1,0,2,1,17,1,2,0,8,0,0,0,0
03078,1231,650,626,621,52,4,0,513,3,5,5,0,0,3,3,21,0,4,0,11,2,0,0,0
03079,23609,1846,678,660,17,13,44,17,36,514,18,5,6,54,27,1023,79,115,67,672,2,91,40,0
03080,1957,388,325,305,7,8,4,210,3,11,20,3,14,36,32,27,6,5,6,4,3,0,0,0
03081,3002,1307,1139,1119,138,28,6,785,10,11,20,0,2,52,52,105,33,32,16,2,5,11,8,0
03082,29923,15879,12837,11894,1959,427,202,7370,106,120,943,89,87,709,685,2062,240,40,863,415,7,261,108,10
