codine,Total Población,Españoles,Total Extranjeros,Total Europa,Total Unión Europea,Alemania,Bulgaria,Francia,Italia,Polonia,Portugal,Reino Unido,Rumanía,Total Europa No Comunitaria,Rusia,Ucrania,Total Africa,Argelia,Marruecos,Nigeria,Senegal,Total América,Argentina,Bolivia,Brasil,Colombia,Cuba,Chile,Ecuador,Paraguay,Perú,Rep. Dominicana,Uruguay,Venezuela,Total Asia,China,Pakistán,Oceanía y Apátridas
03014,335052,285188,49864,21028,17157,1084,1438,2307,3208,773,554,1001,4361,3871,1546,1141,11573,5125,3937,613,760,14641,2158,1067,527,3816,534,275,2627,1035,394,400,478,590,2593,1347,422,29
03015,19788,15414,4374,1731,1363,44,48,38,40,20,22,805,166,368,113,184,2231,82,2130,6,0,347,26,18,15,117,15,25,72,2,3,6,15,24,64,53,4,1
03016,128,106,22,22,22,0,0,0,0,0,0,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03017,512,471,41,15,15,1,2,0,0,0,0,11,1,0,0,0,26,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03018,24333,14720,9613,8059,6697,814,280,361,256,91,38,1463,1178,1362,581,100,448,82,317,1,21,911,176,71,33,95,53,26,264,14,9,24,36,22,190,74,41,5
03019,20341,18787,1554,844,745,15,14,40,44,10,3,278,203,99,18,62,155,48,102,0,0,497,37,10,10,86,6,7,268,10,9,3,7,11,58,35,7,0
03020,147,117,30,30,29,2,3,1,0,0,0,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03021,7157,6825,332,68,64,1,26,0,5,0,0,15,11,4,0,0,68,1,65,0,2,88,4,0,2,22,3,0,50,4,2,0,0,0,108,10,95,0
03022,157,145,12,4,2,0,0,0,0,0,0,2,0,2,0,0,1,0,1,0,0,7,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
03023,1778,1659,119,85,84,0,63,1,2,1,1,10,6,1,0,0,6,2,3,0,0,28,2,8,0,1,0,0,15,0,0,0,2,0,0,0,0,0
03024,5453,4756,697,408,373,4,86,18,7,20,7,114,91,35,1,28,228,4,219,0,1,50,4,6,4,20,1,1,10,2,1,0,0,0,11,10,0,0
03025,1927,1590,337,286,271,80,2,8,2,17,0,116,8,15,5,9,14,0,14,0,0,34,8,0,0,10,4,0,8,0,2,0,0,2,3,0,0,0
03026,1915,1482,433,350,328,86,9,10,7,1,0,156,13,22,0,6,26,3,22,0,1,57,5,6,3,29,0,3,6,0,0,0,3,0,0,0,0,0
03027,188,152,36,32,32,3,0,3,1,0,0,6,18,0,0,0,2,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
03028,1268,1166,102,76,76,0,26,0,0,1,0,16,19,0,0,0,13,0,8,0,3,13,0,0,0,0,2,0,4,1,0,0,0,0,0,0,0,0
03030,1333,656,677,635,619,132,1,6,9,3,0,398,7,16,0,0,33,1,31,0,0,9,1,1,0,0,0,6,0,0,1,0,0,0,0,0,0,0
03031,73768,47563,26205,17581,15996,497,1272,589,922,266,225,5912,3742,1585,636,423,1993,802,1084,43,9,3513,421,140,135,762,296,139,949,48,82,137,154,117,3111,981,1525,7
03032,123,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03033,198,152,46,45,43,16,0,3,0,0,0,14,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
03029,566,272,294,287,285,15,0,6,0,0,0,235,18,2,1,0,1,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
03034,3514,1722,1792,1649,1563,166,22,23,5,2,0,926,10,86,16,3,79,8,71,0,0,26,2,1,0,2,0,0,14,0,0,3,0,0,36,19,0,2
03035,794,749,45,39,36,2,0,0,0,0,0,25,6,3,0,2,0,0,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03036,110,108,2,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03037,487,394,93,81,67,1,0,9,1,0,0,31,7,14,11,1,2,0,0,0,0,10,3,1,0,1,0,0,3,0,0,2,0,0,0,0,0,0
03038,423,389,34,31,30,0,0,1,0,2,0,24,0,1,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03039,113,100,13,12,12,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
03040,435,303,132,125,122,11,1,7,1,0,0,87,1,3,0,0,2,2,0,0,0,5,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
03041,13932,7199,6733,6080,5646,1872,42,170,82,44,6,1943,447,434,43,47,303,36,262,1,1,296,36,57,13,103,8,8,16,1,17,1,6,5,48,28,5,6
03042,5720,1639,4081,3858,3569,622,17,56,24,16,3,2313,65,289,141,21,79,7,72,0,0,107,6,5,2,23,0,8,27,0,2,1,5,3,34,22,1,3
03043,3689,3532,157,95,82,0,18,8,1,0,2,34,3,13,0,0,27,0,27,0,0,14,0,0,0,0,0,1,11,0,0,0,1,0,21,4,16,0
03044,6730,5563,1167,552,415,5,107,8,3,11,8,195,33,137,53,64,405,100,303,1,1,190,5,11,5,70,2,0,73,1,0,3,17,2,20,13,1,0
03045,448,246,202,193,181,12,8,10,1,1,0,109,3,12,4,0,3,1,1,1,0,6,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
03046,3429,2015,1414,1389,1315,151,0,89,18,25,3,790,21,74,18,0,3,0,0,0,2,20,6,0,0,4,3,0,0,1,2,1,0,1,2,0,0,0
03049,17992,15038,2954,497,297,10,54,21,5,6,8,93,61,200,19,133,1966,51,1910,2,0,455,10,57,13,44,4,1,287,14,1,2,17,0,36,19,11,0
03048,7371,5753,1618,750,710,30,53,19,5,6,2,143,374,40,12,6,141,63,75,0,1,710,53,222,1,11,3,10,394,2,1,2,6,2,17,9,6,0
03047,29442,11179,18263,16196,14894,3650,266,735,318,240,50,4236,1940,1302,429,136,929,65,645,4,206,780,147,49,29,354,47,5,35,4,11,4,34,27,357,227,24,1
03050,28184,22465,5719,4633,4324,312,29,839,362,81,45,1279,429,309,153,30,214,134,66,1,5,729,197,22,49,130,38,22,56,36,15,19,56,30,142,75,14,1
03051,435,412,23,21,21,0,17,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
03052,1249,1210,39,25,12,0,2,0,0,4,0,1,4,13,0,11,8,0,8,0,0,6,3,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0
03053,10579,8642,1937,1423,1365,24,20,37,36,7,2,1108,21,58,9,29,240,38,202,0,0,233,34,10,6,12,1,18,111,2,2,1,11,4,41,22,18,0
03054,483,381,102,92,89,5,0,2,0,0,0,71,1,3,2,0,7,4,3,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
03075,236,175,61,60,57,8,1,3,2,0,0,15,12,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
03055,8648,6535,2113,1416,1365,47,11,21,18,4,4,959,57,51,7,15,548,17,528,1,0,125,9,7,9,23,1,6,49,3,0,0,4,11,23,14,0,1
03056,11558,10534,1024,387,371,8,21,13,6,18,10,209,64,16,5,4,497,8,476,1,1,104,20,9,7,14,6,1,19,0,8,4,0,1,36,25,9,0
03057,243,206,37,17,14,1,0,2,1,0,0,4,1,3,0,0,9,0,9,0,0,11,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0
03058,7135,5969,1166,254,189,3,33,16,2,3,2,35,68,65,0,63,652,8,640,0,1,253,2,12,5,13,1,0,196,3,0,0,14,2,7,7,0,0
03059,28382,25244,3138,655,601,50,9,50,21,3,8,323,38,54,12,0,2016,58,1930,7,0,379,33,39,21,141,5,0,79,31,0,10,2,3,88,81,4,0
