codine,Total Población,Españoles,Total Extranjeros,Total Europa,Total Unión Europea,Alemania,Bulgaria,Francia,Italia,Polonia,Portugal,Reino Unido,Rumanía,Total Europa No Comunitaria,Rusia,Ucrania,Total Africa,Argelia,Marruecos,Nigeria,Senegal,Total América,Argentina,Bolivia,Brasil,Colombia,Cuba,Chile,Ecuador,Paraguay,Perú,República Dominicana,Uruguay,Venezuela,Total Asia,China,Pakistán,Oceanía y Apátridas
03011,20042,9852,10190,8755,6281,443,113,186,187,56,37,2235,711,2474,369,185,347,159,135,0,20,614,89,15,40,136,48,20,57,14,10,27,20,56,469,165,43,5
03012,3125,1437,1688,1579,1475,40,7,13,12,4,1,1174,4,104,41,13,46,4,39,0,0,35,1,2,1,10,1,1,0,0,0,1,0,12,28,8,0,0
03013,1326,1259,67,33,30,2,0,6,1,0,0,15,2,3,2,0,25,0,25,0,0,9,0,0,1,0,1,0,1,2,0,0,0,1,0,0,0,0
03014,337482,288005,49477,17064,10506,524,755,1147,2648,482,351,790,2066,6558,2877,2156,14697,8974,3804,360,605,14140,1639,364,737,4492,701,192,934,759,310,298,439,2006,3494,1869,420,82
03015,21208,16247,4961,1681,1275,33,40,33,46,23,26,708,166,406,110,198,2759,69,2641,1,1,446,24,3,17,189,26,21,44,9,5,4,18,49,75,52,16,0
03016,109,96,13,11,11,0,0,0,0,0,0,8,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03017,493,459,34,6,6,1,0,0,0,0,0,3,1,0,0,0,27,0,26,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
03018,22558,14972,7586,5672,4423,370,199,228,226,75,41,821,885,1249,759,164,487,109,320,5,31,1011,171,76,55,156,107,18,137,16,11,14,28,85,413,109,37,3
03019,20804,19325,1479,810,707,32,14,51,44,15,5,238,156,103,31,51,193,43,136,0,8,410,27,8,12,73,15,4,149,10,6,10,10,33,63,47,7,3
03020,128,101,27,27,27,1,9,1,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03021,7090,6720,370,46,42,1,10,2,0,0,3,10,12,4,0,0,89,2,84,0,3,89,4,0,4,38,3,0,28,3,5,0,0,1,146,17,129,0
03022,156,149,7,4,3,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
03023,1690,1612,78,50,48,0,38,0,0,0,1,3,5,2,0,1,12,0,0,3,6,14,2,3,0,0,0,0,9,0,0,0,0,0,2,0,2,0
03024,5435,4728,707,389,347,5,106,12,7,17,3,73,93,42,5,32,253,5,238,0,0,56,2,2,2,29,4,1,6,3,2,0,2,0,9,2,7,0
03025,1965,1677,288,231,214,52,3,9,3,23,0,70,16,17,6,10,21,0,20,0,0,32,10,0,2,10,0,0,5,0,0,0,2,3,4,0,0,0
03026,2159,1656,503,389,365,92,6,28,10,2,1,128,32,24,2,3,24,1,22,1,0,84,14,2,6,21,0,4,7,0,2,2,4,11,6,4,0,0
03027,200,177,23,22,22,5,0,1,0,0,0,6,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03028,1099,1036,63,47,47,0,19,0,0,0,0,11,10,0,0,0,9,0,6,0,0,6,1,1,0,0,1,0,2,0,0,0,0,0,0,0,0,1
03029,443,264,179,175,172,4,0,1,0,0,0,147,1,3,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
03030,1078,661,417,363,346,62,0,3,16,1,1,202,6,17,1,3,17,2,15,0,0,34,3,2,0,12,1,5,0,0,4,0,1,0,1,0,0,2
03031,70450,49333,21117,11052,9154,207,714,323,654,137,100,3119,2447,1898,917,610,2430,1059,1114,167,28,3606,324,68,181,1090,488,95,437,68,100,156,91,306,4019,963,1957,10
03032,104,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03033,136,117,19,19,16,2,0,4,1,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03034,3293,1713,1580,1471,1360,50,1,26,4,5,1,882,5,111,32,4,32,6,26,0,0,18,0,3,0,3,0,0,2,1,0,0,0,0,59,34,0,0
03035,726,690,36,28,27,1,0,0,2,0,0,18,5,1,0,0,0,0,0,0,0,8,1,1,0,0,1,0,0,0,1,0,0,4,0,0,0,0
03036,100,98,2,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03037,497,400,97,88,78,3,0,6,6,0,0,38,3,10,7,1,1,0,1,0,0,8,0,1,0,1,0,0,4,0,1,1,0,0,0,0,0,0
03038,396,364,32,30,29,0,0,1,1,3,0,21,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
03039,103,95,8,8,8,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03040,429,315,114,110,104,12,0,7,0,0,0,61,1,6,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
03041,11288,7465,3823,3012,2697,552,34,124,60,30,13,881,317,315,119,72,300,31,259,1,0,425,18,18,13,254,9,12,17,0,4,3,27,23,78,46,10,8
03042,4452,1758,2694,2382,2084,279,22,67,21,18,1,1238,76,298,175,28,92,8,81,0,2,118,4,7,13,23,3,3,8,1,1,1,4,11,99,90,0,3
03043,3655,3519,136,91,82,1,24,6,3,2,4,23,3,9,1,2,20,0,19,0,0,16,1,1,0,4,0,1,2,0,1,0,0,5,8,4,4,1
03044,6909,5769,1140,497,397,11,95,8,7,10,9,178,35,100,36,51,501,92,395,0,10,121,8,17,8,41,2,1,22,2,0,7,3,5,21,11,4,0
03045,417,241,176,161,156,9,2,5,0,1,0,89,4,5,1,0,11,8,3,0,0,3,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0
03046,3075,2057,1018,959,903,90,1,122,19,11,2,414,20,56,20,3,2,0,1,0,1,53,3,0,0,7,13,0,0,2,0,2,5,1,4,0,0,0
03047,23326,12053,11273,8429,6955,920,168,390,281,143,39,1656,1370,1474,761,325,1177,98,804,2,263,1190,150,41,43,663,52,6,12,13,20,8,19,112,476,233,46,1
03048,7522,6043,1479,780,734,25,45,23,25,5,5,109,424,46,15,16,214,104,105,0,1,465,46,148,12,44,6,5,165,0,8,0,6,18,19,5,8,1
03049,19127,14972,4155,543,288,4,60,16,11,5,6,65,81,255,21,154,3284,71,3204,4,1,275,9,28,7,37,9,0,143,18,2,4,10,1,53,26,22,0
03050,28930,23531,5399,3749,3197,169,39,713,413,67,50,740,320,552,314,117,538,429,77,3,7,899,175,9,78,130,52,22,18,53,20,17,51,113,201,63,24,12
03051,417,402,15,14,14,0,12,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03052,1208,1159,49,33,18,0,8,0,2,0,0,2,5,15,0,15,8,0,8,0,0,7,1,0,0,6,0,0,0,0,0,0,0,0,1,0,1,0
03053,10461,9232,1229,688,630,17,15,26,36,6,4,415,31,58,23,24,258,22,235,0,1,208,28,15,9,22,7,12,32,5,6,6,6,20,75,24,26,0
03054,437,358,79,70,70,3,0,4,0,0,0,46,0,0,0,0,8,6,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
03055,8898,6726,2172,1428,1367,37,10,71,24,11,3,878,43,61,9,10,559,6,548,0,0,125,8,6,11,18,2,5,21,5,6,1,2,24,59,40,2,1
03056,11520,10078,1442,283,233,2,10,11,7,7,5,109,46,50,19,23,1035,9,999,2,9,93,13,0,3,19,2,2,9,1,13,1,1,4,31,11,18,0
03057,261,203,58,43,39,1,0,2,0,0,0,11,7,4,1,0,6,0,5,0,1,7,1,1,0,2,1,0,0,0,0,0,0,0,1,0,1,1
03058,7386,6173,1213,236,158,2,26,8,5,1,4,25,64,78,0,73,762,3,753,0,0,192,3,2,8,14,1,0,136,5,1,2,8,2,23,17,6,0
03059,29536,25677,3859,824,751,60,1,74,19,7,5,380,57,73,13,4,2520,110,2386,2,2,407,20,16,33,205,0,0,31,22,2,10,6,28,103,81,16,5
03060,118,108,10,9,9,2,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
03061,1733,1262,471,333,314,7,4,12,3,2,1,228,1,19,2,4,119,3,114,0,1,11,1,0,2,5,0,0,0,0,0,0,1,0,8,1,0,0
03062,731,257,474,450,436,10,1,9,4,7,1,281,1,14,4,0,5,1,4,0,0,12,1,0,0,3,0,0,4,0,0,2,0,1,6,1,2,1
03063,42827,33114,9713,6461,4877,920,430,433,383,96,36,988,801,1584,646,533,539,55,422,8,34,2179,213,42,93,791,142,49,201,40,28,22,127,257,523,170,63,11
03064,7531,6182,1349,572,538,32,6,21,6,3,10,305,31,34,9,11,639,27,611,0,0,127,5,1,10,24,10,31,16,0,0,2,0,19,11,5,4,0
03065,234765,208459,26306,8402,7144,237,326,498,771,140,189,704,3519,1258,413,296,8388,1568,4784,225,625,6750,547,143,341,2310,206,120,752,866,123,88,199,628,2745,2320,215,21
03066,52813,49753,3060,896,687,28,15,34,79,40,32,37,334,209,45,127,595,214,323,3,32,1335,116,34,32,717,40,11,69,30,30,23,11,158,220,105,34,14
03067,107,102,5,4,4,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
