codine,Total Población,Total Extranjeros,Total Europa,Total Unión Europea (25),Alemania,Francia,Italia,Reino Unido,Resto de Europa,Bulgaria,Rumanía,Total Africa,Marruecos,Total América,Argentina,Bolivia,Colombia,Ecuador,Perú,Total Asia,China,Oceanía y Apátridas
03032,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03033,175,27,26,22,12,1,0,2,4,0,4,0,0,1,0,0,1,0,0,0,0,0
03034,3541,1980,1892,1804,264,17,5,1065,88,19,5,36,34,48,0,0,0,46,0,4,3,0
03035,847,14,12,8,0,0,0,7,4,1,2,0,0,2,0,2,0,0,0,0,0,0
03036,98,3,3,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
03037,468,109,82,75,8,4,1,40,7,0,3,2,1,25,0,0,0,22,0,0,0,0
03038,433,15,14,13,0,1,0,12,1,0,0,0,0,1,0,0,0,0,0,0,0,0
03039,137,15,15,15,1,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03040,389,103,99,97,4,4,5,72,2,2,0,2,2,2,1,0,1,0,0,0,0,0
03041,12424,5400,4732,4077,1674,132,62,1444,655,33,239,255,218,364,52,61,117,66,11,49,34,0
03042,4276,2762,2587,2377,461,37,15,1576,210,10,31,52,48,111,16,5,18,48,0,11,9,1
03043,3647,141,81,27,0,3,2,7,54,42,1,33,22,22,1,2,0,16,0,5,0,0
03044,6303,933,510,313,4,9,7,219,197,58,39,184,146,238,1,19,65,130,0,1,0,0
03045,390,149,137,129,14,13,0,76,8,0,1,1,1,11,0,0,5,0,0,0,0,0
03046,2643,1038,1020,950,125,50,10,592,70,0,17,5,3,12,3,0,2,0,0,1,0,0
03047,26382,15761,13706,11744,3674,634,254,3848,1962,151,868,673,466,1020,190,75,495,69,12,358,295,4
03048,7939,2087,684,419,24,45,5,224,265,53,159,112,48,1288,55,376,29,796,1,3,0,0
03049,17366,2199,527,161,11,36,2,53,366,97,48,1003,932,655,8,28,71,487,3,14,13,0
03050,24674,4598,3348,2988,243,565,217,1118,360,16,174,123,46,1051,348,16,230,132,15,73,41,3
03051,409,14,5,2,0,1,0,1,3,0,3,2,1,7,0,0,1,6,0,0,0,0
03052,1203,34,26,2,0,0,0,1,24,8,4,0,0,8,0,0,4,4,0,0,0,0
03053,9331,1193,794,747,21,24,9,634,47,9,0,147,114,226,10,9,9,158,0,26,9,0
03054,487,62,58,57,7,1,0,41,1,0,0,1,1,3,3,0,0,0,0,0,0,0
03055,7530,1631,1180,1106,17,18,5,945,74,9,24,334,325,117,9,6,25,47,0,0,0,0
03056,11143,534,244,185,4,13,7,138,59,12,32,148,138,132,48,4,16,37,7,10,9,0
03057,256,21,18,18,5,0,0,11,0,0,0,0,0,3,0,2,0,1,0,0,0,0
03058,6464,650,141,46,6,12,0,11,95,18,22,180,177,327,0,1,6,287,0,2,2,0
03059,27815,2957,746,630,65,63,9,383,116,27,43,1628,1550,557,52,31,272,137,1,26,22,0
03060,145,10,10,8,0,2,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0
03061,1676,448,373,355,3,0,2,309,18,0,3,58,54,16,0,0,9,0,0,1,1,0
03062,354,165,159,155,20,3,5,98,4,0,0,0,0,6,0,0,0,0,0,0,0,0
03063,41591,11827,7978,5770,2491,404,298,1421,2208,412,536,513,401,3105,440,71,974,1052,18,228,160,3
03064,6786,786,490,455,28,18,0,329,35,3,16,245,242,50,0,1,8,18,0,0,0,1
03065,219032,21025,7372,2921,291,374,571,826,4451,366,3213,5346,3451,7564,1027,365,2162,2286,82,732,691,11
03066,55138,3008,629,265,31,45,50,27,364,24,189,206,116,2039,158,77,1105,444,16,133,118,1
03067,93,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03068,54,11,11,11,1,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03069,4172,1674,1417,1195,82,87,30,656,222,24,53,46,37,190,64,0,26,29,9,21,13,0
03070,3173,962,680,595,12,28,4,501,85,47,5,177,173,103,5,4,9,78,0,2,0,0
03071,5551,881,359,291,27,7,8,199,68,11,49,170,167,338,143,0,113,56,1,14,10,0
03072,347,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03073,250,6,2,2,0,0,0,2,0,0,0,0,0,4,0,2,1,0,0,0,0,0
03074,2093,181,31,25,0,3,0,8,6,0,2,79,76,71,0,2,5,55,0,0,0,0
03075,204,32,32,31,8,3,0,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0
03076,14261,4795,3814,2632,504,77,103,1280,1182,284,164,369,322,450,200,2,58,57,4,159,148,3
03077,2312,734,720,698,90,4,2,417,22,10,4,4,4,9,1,2,1,4,0,1,0,0
03078,1109,563,549,542,50,3,0,456,7,1,2,2,2,12,0,0,0,10,2,0,0,0
03079,23360,1688,495,89,12,7,37,17,406,33,359,42,16,1063,97,101,68,731,1,88,46,0
03080,1813,266,226,215,7,6,4,152,11,3,0,11,8,29,8,6,4,1,3,0,0,0
03081,2946,1264,1119,1078,154,23,6,767,41,7,13,44,44,92,30,32,15,1,4,9,9,0
03082,29279,15428,12077,10936,1908,393,188,6833,1141,115,96,781,749,2266,251,29,947,516,7,289,148,15
03083,7596,565,263,217,41,4,12,108,46,8,18,79,66,223,35,1,14,117,5,0,0,0
03084,743,40,28,24,1,7,0,16,4,0,0,6,6,6,0,0,0,6,0,0,0,0
03085,950,605,587,571,108,11,1,366,16,0,4,3,2,15,3,2,2,0,0,0,0,0
03086,186,32,32,31,0,0,0,31,1,0,1,0,0,0,0,0,0,0,0,0,0,0
03088,6157,612,183,135,13,11,10,70,48,2,36,168,42,260,1,118,23,109,1,1,0,0
03089,12841,1073,473,422,34,8,8,215,51,5,10,28,24,509,18,173,51,229,6,63,13,0
03090,19264,1903,1389,1167,134,203,98,386,222,31,24,142,113,361,84,10,40,108,2,10,0,1
03091,562,264,246,228,15,3,0,199,18,14,0,1,1,17,0,1,0,7,0,0,0,0
03092,8446,453,188,137,2,15,5,87,51,37,8,136,124,114,14,11,8,28,6,14,10,1
03093,26335,1963,575,292,29,29,38,70,283,7,194,319,52,1043,14,80,81,797,17,25,23,1
03094,14006,6154,5387,4609,934,153,94,1658,778,73,76,165,68,561,86,19,37,293,9,37,16,4
03095,6004,802,432,275,64,15,20,98,157,7,58,158,139,199,19,4,82,35,1,13,9,0
03096,7466,417,206,118,8,2,12,73,88,16,60,29,29,162,36,22,5,31,0,20,3,0
03097,2361,1177,1112,1027,171,16,6,742,85,21,33,14,13,48,4,3,7,26,0,2,0,1
03098,719,206,190,178,39,18,3,71,12,2,3,3,3,13,6,0,5,1,0,0,0,0
03099,77979,27310,22149,18201,2629,170,166,12109,3948,932,433,1636,770,3119,131,507,755,1390,10,401,267,5
03100,1019,383,367,349,43,30,0,210,18,4,8,12,12,3,1,0,1,0,0,1,0,0
03101,6857,1506,1241,1115,292,35,11,571,126,4,29,113,79,151,67,0,20,38,2,1,0,0
03102,10721,1848,1562,1207,279,81,14,616,355,36,91,95,92,176,11,1,16,122,0,12,10,3
03103,334,9,5,5,0,0,0,4,0,0,0,1,0,3,0,1,0,0,0,0,0,0
03104,33026,1199,255,137,12,27,34,32,118,3,41,75,26,819,50,21,481,123,7,50,38,0
03105,7315,802,483,344,6,11,4,310,139,17,7,46,43,267,15,6,27,174,0,6,0,0
03106,799,75,70,50,0,8,0,37,20,0,18,1,0,4,0,0,1,3,0,0,0,0
03107,3636,1229,956,816,90,87,17,465,140,2,59,83,40,188,17,7,14,128,2,2,0,0
03109,3805,474,100,36,0,1,0,13,64,3,39,274,266,100,6,0,18,72,1,0,0,0
03110,588,261,240,218,42,5,0,152,22,0,1,6,6,13,1,0,6,0,1,2,1,0
03111,6825,697,175,128,5,21,5,28,47,23,18,300,231,221,9,84,41,53,0,1,0,0
03112,1046,305,285,253,7,7,3,199,32,3,21,13,7,6,1,0,1,2,0,1,0,0
03113,15987,11096,10461,9072,1214,85,74,6134,1389,127,31,244,221,299,7,1,11,228,0,91,80,1
03114,2407,485,428,424,16,5,5,333,4,3,1,4,0,52,1,2,4,43,0,1,0,0
03115,464,142,105,104,15,7,1,72,1,0,1,33,30,4,0,0,0,4,0,0,0,0
03116,1498,216,189,150,22,10,3,97,39,38,0,3,0,24,3,0,9,6,0,0,0,0
03117,684,201,174,148,42,2,1,93,26,1,7,14,14,13,2,0,0,9,0,0,0,0
03118,9597,7096,6746,6474,1187,77,40,4679,272,9,35,221,198,102,14,0,5,63,1,27,21,0
03119,20430,2171,1060,857,84,204,181,142,203,23,63,132,106,928,250,51,180,167,12,49,22,2
03120,7104,4271,3996,3635,667,24,7,2651,361,81,19,122,62,122,9,7,10,83,0,30,23,1
03121,27521,5952,4541,3723,190,354,153,2285,818,115,101,233,127,1025,215,15,399,75,15,152,105,1
03122,47706,2866,1115,614,80,137,160,58,501,71,145,388,143,1216,278,54,248,272,46,145,84,2
03123,9577,674,477,421,37,12,12,337,56,21,4,7,5,180,15,22,37,87,0,10,7,0
03124,650,103,91,86,29,1,2,34,5,1,0,3,2,8,0,0,4,0,0,1,0,0
03125,649,271,183,155,27,8,1,90,28,1,24,71,68,17,4,0,5,5,0,0,0,0
03127,751,260,240,220,32,32,2,83,20,0,10,1,1,18,3,0,0,11,0,1,0,0
03128,12745,7885,6903,6197,1683,165,70,3109,706,215,95,244,227,665,76,53,344,84,7,71,54,2
03129,1572,240,230,213,41,8,0,100,17,0,13,2,0,8,2,0,3,0,0,0,0,0
03130,43,10,9,9,0,0,0,9,0,0,0,0,0,1,1,0,0,0,0,0,0,0
03131,346,150,142,139,32,2,0,97,3,0,0,7,5,1,0,0,0,1,0,0,0,0
03132,733,78,74,59,26,3,0,8,15,0,11,0,0,4,0,0,2,1,0,0,0,0
03133,92034,46337,33483,22804,3288,450,762,10902,10679,1349,1326,3406,2401,8404,1150,73,2521,1821,82,1034,650,10
03134,179,14,11,10,0,1,0,9,1,0,0,0,0,3,0,0,0,2,0,0,0,0
03135,309,28,26,24,2,10,0,11,2,0,0,0,0,2,0,1,0,0,0,0,0,0
03136,623,96,70,59,2,4,1,40,11,1,10,0,0,26,3,1,3,18,0,0,0,0
03137,948,134,124,109,11,3,1,72,15,0,14,9,4,1,0,0,0,0,0,0,0,0
03138,4538,835,512,307,136,16,12,59,205,17,150,149,118,171,22,7,61,53,0,3,0,0
03139,29263,4738,3182,2152,257,169,185,858,1030,133,430,560,514,934,242,29,166,249,12,58,30,4
03140,34186,2186,534,214,13,18,15,130,320,137,114,392,354,1169,17,8,453,600,2,91,84,0
03901,2865,1721,1649,1381,844,40,27,312,268,8,11,7,7,53,3,1,29,5,12,12,3,0
03902,19578,8583,6211,5240,955,52,41,3528,971,49,252,1187,1173,1072,38,16,55,865,8,113,94,0
03903,3654,824,738,474,41,12,16,349,264,139,50,31,20,48,13,0,20,6,0,7,7,0
03904,1401,69,45,35,2,3,2,21,10,4,2,10,5,14,0,2,3,2,0,0,0,0
