codine,Total Población,Nacidos en España,Nacidos en el Extranjero,Total Europa,Total Unión Europea,Alemania,Bulgaria,Francia,Italia,Polonia,Portugal,Reino Unido,Rumanía,Total Europa No Comunitaria,Rusia,Ucrania,Total Africa,Argelia,Marruecos,Nigeria,Senegal,Total América,Argentina,Bolivia,Brasil,Colombia,Cuba,Chile,Ecuador,Paraguay,Perú,República Dominicana,Uruguay,Venezuela,Total Asia,China,Pakistán,Total Oceanía
03090,23707,20517,3190,1765,1524,179,39,338,83,28,28,373,120,241,34,108,488,249,208,2,4,832,233,24,37,143,25,19,85,59,25,17,45,77,97,35,1,8
03093,26517,24031,2486,1049,914,52,39,99,15,59,29,66,513,135,28,75,401,294,102,0,0,957,43,70,7,89,27,5,616,11,21,3,22,13,78,44,9,1
03094,19524,10803,8721,7010,6079,1065,102,247,86,47,45,2186,246,931,199,52,455,191,144,1,81,1096,282,24,37,123,73,40,293,18,26,18,50,39,153,49,12,7
03095,6613,5312,1301,634,512,87,24,84,9,5,10,79,144,122,29,54,270,23,222,0,15,363,43,20,11,121,8,16,54,7,3,26,29,8,34,12,3,0
03096,7544,6905,639,293,275,24,21,30,10,1,2,57,97,18,3,4,97,7,89,0,0,229,66,20,5,6,0,5,43,3,1,11,60,6,19,3,14,1
03097,2570,1113,1457,1366,1324,201,19,33,6,3,1,914,27,42,0,1,41,19,8,1,0,39,7,2,0,1,1,0,10,0,0,0,0,0,9,0,1,2
03099,91260,52021,39239,33069,29684,3082,1665,521,222,443,103,18250,1128,3385,985,548,2176,689,1163,34,21,3180,263,492,113,692,88,59,1029,31,44,54,106,68,800,353,46,14
03098,916,566,350,316,309,52,1,15,3,1,0,155,6,7,2,0,13,0,10,0,0,16,0,1,1,6,0,1,1,0,0,0,2,0,5,0,0,0
03100,1104,597,507,468,460,32,6,35,0,0,0,294,19,8,2,3,24,15,7,1,0,13,8,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
03101,7757,5566,2191,1628,1505,339,9,85,16,6,3,721,59,123,24,8,195,37,147,1,1,340,122,1,10,60,9,14,51,0,22,2,14,10,28,13,4,0
