codine,Total Población,Nacidos en España,Nacidos en el Extranjero,Total Europa,Total Unión Europea,Alemania,Bulgaria,Francia,Italia,Polonia,Portugal,Reino Unido,Rumanía,Total Europa No Comunitaria,Rusia,Ucrania,Total África,Argelia,Marruecos,Nigeria,Senegal,Total América,Argentina,Bolivia,Brasil,Colombia,Cuba,Chile,Ecuador,Paraguay,Perú,Rep. Dominicana,Uruguay,Venezuela,Total Asia,China,Pakistán,Oceanía
03100,1066,634,432,398,387,31,4,36,0,0,0,234,9,11,0,7,19,15,4,0,0,14,9,2,0,1,0,0,0,0,0,0,0,0,1,1,0,0
03101,7480,5403,2077,1572,1468,371,7,75,11,7,5,704,52,104,5,6,173,30,138,0,0,310,124,1,5,56,4,6,57,1,17,1,15,4,19,5,4,3
03102,11043,8674,2369,1943,1706,329,88,195,14,40,14,685,152,237,9,46,157,10,143,0,0,245,19,6,6,26,4,5,137,0,4,0,5,16,24,16,0,0
03103,323,306,17,8,8,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,2,2,0,0
03104,34109,32355,1754,540,414,42,8,128,32,5,19,44,89,126,16,13,108,54,42,1,1,1035,91,8,14,545,33,25,119,59,14,2,22,80,71,52,5,0
03105,7623,6571,1052,668,583,7,44,15,7,9,5,435,24,85,2,76,64,7,54,0,0,301,18,27,7,37,16,0,149,11,0,5,24,0,19,7,11,0
03106,839,731,108,98,95,0,0,8,0,1,1,50,26,3,0,0,2,0,2,0,0,8,0,2,0,1,0,0,1,0,2,0,0,0,0,0,0,0
03107,4112,2554,1558,1106,1009,85,4,63,6,12,13,586,88,97,6,6,160,67,55,0,23,273,54,9,10,10,28,2,125,0,5,0,7,5,17,1,5,2
03109,4028,3372,656,202,178,5,3,47,1,7,14,28,63,24,0,14,325,8,312,0,0,127,6,10,2,23,2,0,82,0,0,0,0,1,2,0,0,0
03110,692,344,348,323,297,57,0,9,1,0,0,197,1,26,0,0,4,0,3,0,0,20,1,0,3,4,0,1,5,0,1,0,0,1,1,1,0,0
03111,7261,6213,1048,401,375,15,60,121,8,38,20,42,39,26,2,11,320,79,238,1,0,322,9,143,17,68,4,0,54,1,0,9,3,6,5,3,0,0
03112,1205,762,443,432,427,9,7,13,3,5,1,306,35,5,1,0,4,2,1,0,0,7,1,1,0,0,0,1,0,0,0,0,2,2,0,0,0,0
03113,19247,4995,14252,13422,11932,1455,225,140,79,36,10,7967,58,1490,174,57,337,22,298,1,0,326,32,4,21,26,5,16,162,2,4,3,12,10,163,102,7,4
03114,2539,1927,612,534,531,10,3,8,3,23,0,419,2,3,0,0,6,5,1,0,0,68,2,3,0,4,0,0,46,4,0,0,6,0,2,0,0,2
03115,434,290,144,123,122,12,0,5,1,0,0,90,1,1,0,0,19,7,11,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
03116,1588,1310,278,234,228,29,15,32,0,7,4,127,1,6,1,0,4,2,1,0,0,37,4,3,1,15,1,1,7,0,0,0,0,5,3,0,0,0
03117,740,478,262,231,207,54,3,8,2,0,1,116,3,24,0,0,12,2,9,0,0,19,8,2,0,1,0,0,4,0,2,0,0,0,0,0,0,0
03118,11594,2720,8874,8293,7974,1347,12,91,38,34,17,5740,93,319,31,40,315,42,241,4,0,165,36,6,7,15,10,11,36,1,7,2,5,4,97,33,3,4
