codine,Total Población,Nacidos en España,Nacidos en el Extranjero,Total Europa,Total Unión Europea,Alemania,Bulgaria,Francia,Italia,Polonia,Portugal,Reino Unido,Rumanía,Total Europa No Comunitaria,Rusia,Ucrania,Total África,Argelia,Marruecos,Nigeria,Senegal,Total América,Argentina,Bolivia,Brasil,Colombia,Cuba,Chile,Ecuador,Paraguay,Perú,República Dominicana,Uruguay,Venezuela,Total Asia,China,Pakistán,Total Oceanía
03033,135,110,25,20,10,3,0,3,1,0,0,6,0,10,0,0,2,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0
03034,3323,1699,1624,1478,484,44,2,62,5,6,1,875,6,994,29,6,38,5,31,0,0,50,5,2,2,4,2,3,17,1,0,3,0,6,58,29,0,0
03035,737,689,48,35,19,2,0,5,2,0,0,15,7,16,0,0,6,1,1,0,0,5,1,1,0,1,0,0,0,0,1,0,0,0,2,0,1,0
03036,101,98,3,3,1,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03037,501,369,132,90,40,4,0,10,4,0,0,36,2,50,9,1,8,0,6,0,0,34,4,1,0,2,1,0,18,0,0,3,3,1,0,0,0,0
03038,397,357,40,34,12,1,0,4,1,3,0,19,0,22,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0
03039,97,88,9,8,3,1,0,1,0,0,0,5,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
03040,415,286,129,104,49,11,2,14,0,0,0,49,1,55,1,0,6,3,0,0,0,17,8,0,0,5,2,0,0,0,0,0,1,0,1,0,0,1
03041,11462,7099,4363,3039,1783,539,34,169,38,36,13,905,278,1256,127,82,361,49,284,4,0,845,93,41,22,432,18,18,54,1,39,10,35,34,107,46,10,11
03042,4447,1746,2701,2215,775,230,21,61,17,16,5,1148,59,1440,170,33,121,12,88,0,1,239,24,9,15,49,4,5,29,1,4,5,19,28,119,77,7,7
03043,3628,3447,181,97,60,4,15,15,1,2,4,26,2,37,1,2,27,2,20,0,0,42,4,1,2,8,3,0,11,0,1,1,0,8,15,8,6,0
03044,6994,5717,1277,499,227,10,71,44,9,10,5,171,29,272,36,49,513,72,427,0,11,241,11,24,10,93,2,2,70,1,3,6,8,4,24,9,4,0
03045,426,244,182,158,69,11,2,4,0,4,0,83,4,89,2,0,15,11,4,0,0,7,0,0,0,3,0,0,1,0,1,0,0,1,2,0,0,0
