codine,Total Población,Nacidos en España,Nacidos en el Extranjero,Total Europa,Total Unión Europea,Alemania,Bulgaria,Francia,Italia,Polonia,Portugal,Reino Unido,Rumanía,Total Europa No Comunitaria,Rusia,Ucrania,Total África,Argelia,Marruecos,Nigeria,Senegal,Total América,Argentina,Bolivia,Brasil,Colombia,Cuba,Chile,Ecuador,Paraguay,Perú,Rep. Dominicana,Uruguay,Venezuela,Total Asia,China,Pakistán,Total Oceanía
03122,54531,49301,5230,1893,1529,183,99,412,99,39,62,100,298,364,90,71,728,221,383,10,17,2341,584,53,64,450,55,110,344,65,102,46,174,155,266,140,16,2
03123,10041,8976,1065,810,777,44,37,68,19,5,10,547,10,33,5,20,33,3,25,1,0,209,33,19,2,58,1,0,67,7,0,1,0,17,13,9,2,0
03124,636,527,109,98,94,29,0,12,2,0,0,38,1,4,0,0,9,1,6,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
03125,661,401,260,210,208,39,3,11,1,1,1,107,19,2,0,0,35,3,31,0,0,14,5,1,2,4,0,0,0,0,0,1,1,0,1,0,0,0
03127,809,468,341,307,296,33,0,25,2,0,0,100,8,11,3,1,13,12,0,0,0,21,4,0,0,4,0,0,8,0,2,0,0,0,0,0,0,0
03128,14722,4943,9779,8413,7968,1779,383,220,69,55,12,3900,225,445,63,11,324,31,267,0,5,865,146,69,18,375,9,14,73,2,13,29,35,29,174,100,9,3
03129,1763,1390,373,320,311,58,0,8,2,3,0,144,29,9,1,2,9,3,3,0,0,36,16,0,1,8,1,0,0,0,0,1,4,1,8,3,0,0
03130,49,40,9,8,8,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03131,383,208,175,165,163,24,0,1,0,0,0,129,0,2,0,0,7,3,3,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0
03132,802,621,181,170,154,50,0,8,2,0,0,27,17,16,0,1,0,0,0,0,0,8,0,0,1,4,0,0,1,0,0,0,0,1,2,0,0,1
03133,102136,46509,55627,40416,31864,4091,2235,780,560,615,396,12585,2176,8552,3226,1943,4136,508,2770,142,416,9429,1373,89,788,2496,464,895,1495,155,214,160,740,275,1618,666,143,28
03134,187,165,22,21,15,0,0,4,0,0,0,10,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
03135,284,242,42,31,31,3,0,12,1,0,0,13,0,0,0,0,7,5,1,0,0,4,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0
03136,694,541,153,128,126,12,1,13,0,1,0,69,22,2,1,0,5,1,4,0,0,19,4,4,0,5,0,0,5,0,0,0,0,0,1,0,0,0
03137,961,766,195,163,157,23,0,10,1,0,0,89,17,6,0,0,16,9,5,0,0,15,3,0,1,0,1,0,0,2,3,0,0,0,0,0,0,1
03138,4899,3700,1199,856,794,232,26,75,12,21,7,99,257,62,17,15,148,21,120,0,7,153,28,11,7,38,5,0,39,0,4,3,5,8,42,34,1,0
03139,32733,26204,6529,3811,3089,184,227,261,102,96,46,574,1034,722,298,146,1022,114,881,6,5,1519,363,62,100,285,104,37,309,20,32,13,82,62,170,70,26,7
03140,34966,31856,3110,992,890,36,244,116,17,19,11,183,227,102,15,24,613,41,536,1,1,1412,44,9,16,485,19,6,655,24,15,14,8,79,93,68,6,0
03901,3394,1259,2135,1986,1679,905,7,69,19,30,8,427,27,307,17,6,39,17,17,0,1,89,18,4,4,35,1,1,3,1,5,0,5,2,21,11,0,0
03902,22967,12175,10792,8155,7465,1128,49,148,50,28,26,4628,577,690,95,121,1394,16,1366,1,0,1097,48,35,20,72,17,11,772,7,21,19,33,17,145,98,5,1
03903,5199,3013,2186,2013,1898,59,179,25,18,18,2,1336,80,115,27,42,48,13,31,1,0,91,17,0,5,32,5,6,3,0,2,2,5,7,33,15,2,1
03904,1934,1709,225,132,127,3,12,23,3,4,0,52,17,5,0,1,23,1,15,0,1,70,8,3,5,18,8,2,15,1,3,1,2,1,0,0,0,0
