codine,Total Población,Nacidos en el Extranjero,Total Europa,Total Unión Europea (25),Alemania,Francia,Italia,Reino Unido,Resto de Europa,Bulgaria,Rumanía,Total Africa,Marruecos,Total América,Argentina,Bolivia,Colombia,Ecuador,Perú,Total Asia,China,Oceanía
03051,409,16,5,3,0,2,0,1,2,0,2,2,1,9,0,0,1,7,1,0,0,0
03052,1203,43,32,6,0,4,0,1,26,8,4,0,0,11,0,0,5,5,0,0,0,0
03053,9331,1244,813,762,23,44,3,630,51,9,0,146,114,256,22,9,11,157,0,29,11,0
03054,487,70,62,61,5,6,0,42,1,0,0,2,1,6,5,0,0,0,0,0,0,0
03055,7530,1712,1263,1184,24,90,4,944,79,9,24,326,316,123,11,6,28,45,0,0,0,0
03056,11143,647,301,236,14,52,6,138,65,11,31,148,134,182,67,4,17,37,10,14,11,2
03057,256,36,32,32,8,2,0,14,0,0,0,0,0,3,0,2,0,1,0,1,0,0
03058,6464,820,306,209,9,171,0,10,97,18,22,174,171,338,5,1,8,274,0,2,2,0
03059,27815,3189,978,841,100,215,16,383,137,26,40,1581,1484,598,68,30,276,137,4,32,26,0
03060,145,11,9,7,0,1,0,6,2,0,0,1,0,1,1,0,0,0,0,0,0,0
03061,1676,453,383,362,5,11,1,303,21,0,3,54,49,14,0,0,9,0,0,2,1,0
03062,354,169,163,154,24,5,1,99,9,0,0,0,0,6,0,0,0,0,0,0,0,0
03063,41591,12762,8163,5898,2554,613,173,1407,2265,402,527,689,440,3626,683,71,999,1039,32,276,155,8
03064,6786,790,515,478,31,41,1,322,37,3,15,213,209,57,4,1,12,14,0,3,0,2
03065,219032,23859,8711,4031,590,1462,252,818,4680,362,3106,5760,3752,8627,1532,361,2218,2237,128,753,669,8
03066,55138,3579,882,465,53,210,39,33,417,24,194,326,191,2233,218,78,1131,447,25,136,115,2
03067,93,2,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03068,54,8,7,7,3,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0
03069,4172,1776,1441,1214,90,114,24,638,227,24,50,66,44,243,98,0,30,28,11,24,13,2
03070,3173,1004,726,620,16,50,4,500,106,47,5,169,166,107,7,2,9,79,0,2,0,0
03071,5551,938,364,291,33,20,5,186,73,11,48,188,177,369,168,0,110,54,2,17,9,0
03072,347,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03073,250,8,3,3,1,0,0,2,0,0,0,1,0,4,0,2,1,0,0,0,0,0
03074,2093,278,134,128,0,106,0,8,6,0,2,78,75,66,0,2,5,50,0,0,0,0
03075,204,32,32,31,8,3,0,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0
03076,14261,4920,3765,2578,508,105,48,1273,1187,280,163,380,306,625,311,2,69,59,5,148,124,2
03077,2312,767,736,713,90,15,3,419,23,10,4,6,6,19,2,2,1,4,0,5,0,1
