codine,Total Población,Nacidos en el Extranjero,Total Europa,Total Unión Europea (27),Alemania,Francia,Italia,Reino Unido,Bulgaria,Rumanía,Resto de Europa,Rusia,Ucrania,Total África,Marruecos,Total América,Argentina,Bolivia,Colombia,Ecuador,Perú,Total Asia,China,Oceanía
03083,7553,637,326,304,45,26,4,133,6,20,22,3,2,92,74,213,61,2,14,85,5,5,2,1
03084,751,69,51,51,2,12,0,33,0,0,0,0,0,8,5,10,2,2,0,4,0,0,0,0
03085,1001,678,652,640,115,19,1,404,0,8,12,3,1,6,2,16,3,1,2,0,0,4,0,0
03086,187,35,32,32,0,1,0,30,0,1,0,0,0,1,0,2,1,0,0,0,0,0,0,0
03088,6497,875,348,330,14,32,5,146,10,51,18,7,1,202,39,319,9,143,21,115,6,6,3,0
03089,12923,1244,655,609,52,37,8,278,9,14,46,11,10,44,21,493,24,173,39,198,7,52,14,0
03090,20364,2668,1754,1556,194,320,57,494,28,48,198,21,80,270,174,588,175,20,57,83,14,52,13,4
03091,574,293,265,261,13,3,0,215,13,3,4,0,0,5,1,23,2,0,0,7,0,0,0,0
03092,8611,578,288,274,12,39,2,109,46,19,14,0,5,124,114,154,22,16,15,25,12,10,8,2
03093,26525,2302,831,714,59,117,18,77,13,288,117,28,59,365,82,1071,54,107,88,722,17,35,30,0
03094,15519,7041,5776,5067,1011,201,71,1811,82,95,709,110,34,295,121,853,171,37,79,312,18,112,26,5
03095,6217,1076,538,409,69,69,10,82,12,86,129,31,53,204,164,315,41,21,94,51,5,19,9,0
03096,7622,635,344,332,27,31,6,100,26,96,12,0,3,48,34,212,63,24,9,31,0,30,7,1
03097,2503,1365,1250,1215,192,31,6,835,22,38,35,0,1,37,13,67,15,1,7,26,0,10,0,1
03098,758,241,217,211,42,19,4,91,1,1,6,2,0,4,4,16,5,1,3,0,0,4,0,0
03099,80468,30056,24776,22238,2806,469,149,13913,930,482,2538,273,550,1536,777,3235,208,727,687,1160,25,500,254,9
03100,1061,431,395,389,36,37,0,232,4,10,6,0,3,22,7,13,10,0,1,0,0,1,0,0
03101,7097,1793,1439,1334,333,69,10,649,7,45,105,7,3,122,88,212,99,0,29,38,9,17,4,3
03102,10878,2202,1810,1582,316,190,9,643,66,122,228,6,45,136,123,229,18,2,25,134,3,27,18,0
03103,330,17,8,8,0,1,0,7,0,0,0,0,0,2,0,5,0,3,0,0,0,2,2,0
03104,33486,1537,476,368,39,126,25,38,4,66,108,14,10,105,38,883,86,11,476,110,12,73,53,0
03105,7442,864,537,442,11,15,5,356,23,11,95,0,87,44,40,270,18,16,30,145,0,13,5,0
03106,803,95,86,83,0,8,0,48,0,22,3,0,0,0,0,9,0,3,1,1,2,0,0,0
03107,3869,1407,1001,912,87,59,6,499,3,83,89,4,9,151,47,241,41,8,4,126,2,12,1,2
03109,3901,542,161,135,5,48,1,18,2,40,26,2,12,268,256,111,6,4,20,79,0,2,0,0
03110,635,305,284,263,50,9,1,173,0,1,21,0,0,7,6,14,1,0,4,0,1,0,0,0
03111,6982,874,349,332,15,116,7,37,41,33,17,1,5,262,201,260,10,93,54,51,0,3,0,0
03112,1090,375,355,348,6,12,2,248,5,28,7,0,0,8,3,11,2,0,2,2,0,1,0,0
03113,17543,12629,11925,10527,1353,130,71,7044,171,31,1398,174,46,258,222,317,24,1,24,183,1,127,80,2
03114,2467,550,481,478,11,8,3,370,3,4,3,0,0,6,1,59,2,1,5,39,0,2,0,2
03115,457,157,119,117,10,5,1,84,0,5,2,0,0,35,24,3,0,0,0,1,1,0,0,0
03116,1522,250,215,213,26,32,0,116,18,1,2,0,0,4,1,28,4,0,11,6,0,3,0,0
03117,727,248,213,188,45,9,1,111,0,5,25,0,0,19,16,15,4,1,1,4,2,1,0,0
03118,10583,8000,7498,7203,1246,78,34,5193,11,56,295,26,38,276,212,147,35,4,7,41,3,75,27,4
03119,20997,3202,1223,1051,145,299,53,152,34,72,172,29,46,280,193,1619,561,68,239,183,36,78,25,2
03120,7625,4780,4458,4184,710,30,12,2980,90,21,274,34,36,136,57,145,23,8,13,65,0,40,18,1
03121,29221,7399,5515,4815,288,405,120,2808,132,153,700,168,85,468,220,1256,325,27,358,76,9,159,111,1
03122,49341,4160,1569,1219,154,412,58,82,81,189,350,84,65,609,289,1801,490,69,312,295,67,179,98,2
03123,9716,880,635,603,47,60,15,413,22,7,32,2,12,22,14,211,23,31,48,74,0,12,8,0
03124,639,103,91,87,23,14,3,35,0,0,4,0,0,7,3,5,0,0,4,0,0,0,0,0
03125,658,262,181,178,28,10,1,89,1,26,3,0,0,65,62,15,1,0,6,0,5,1,0,0
03127,758,281,247,237,26,26,2,81,0,7,10,2,1,13,1,20,5,1,0,7,0,1,0,0
03128,13281,8474,7281,6877,1685,189,58,3302,278,127,404,26,14,284,228,786,155,68,327,72,12,122,54,1
