codine,Total Población,Nacidos en España,Nacidos en el Extranjero,Total Europa,Total Unión Europea,Alemania,Bulgaria,Francia,Italia,Polonia,Portugal,Reino Unido,Rumanía,Total Europa No Comunitaria,Rusia,Ucrania,Total África,Argelia,Marruecos,Nigeria,Senegal,Total América,Argentina,Bolivia,Brasil,Colombia,Cuba,Chile,Ecuador,Paraguay,Perú,Rep. Dominicana,Uruguay,Venezuela,Total Asia,China,Pakistán,Oceanía
03127,792,465,327,286,273,30,0,26,2,0,0,90,7,13,3,1,15,13,1,0,0,26,9,0,0,1,0,0,8,0,2,0,0,0,0,0,0,0
03128,14620,4886,9734,8309,7867,1792,380,214,64,55,14,3857,206,442,50,17,329,33,271,0,5,939,181,101,23,373,11,27,81,0,16,17,29,25,155,81,2,2
03129,1719,1369,350,296,285,59,0,8,1,3,0,123,27,11,1,3,8,3,3,0,0,38,14,0,0,10,2,0,0,0,0,1,4,3,8,3,0,0
03130,68,60,8,8,8,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03131,377,205,172,159,157,25,0,1,0,0,0,123,0,2,0,0,9,3,5,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,0
03132,742,584,158,145,131,42,0,7,1,0,0,28,14,14,0,0,0,0,0,0,0,10,0,0,1,3,1,1,2,0,0,0,0,1,2,0,0,1
03133,101792,45929,55863,39056,30591,3961,2075,761,532,580,403,12396,2002,8465,2956,2087,4414,504,3042,162,361,10831,1542,98,1247,2699,473,1025,1752,162,193,163,895,290,1537,710,111,25
03134,192,169,23,22,16,0,0,4,0,0,0,12,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
03135,282,242,40,30,29,3,0,11,0,0,1,11,1,1,0,0,7,4,2,0,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
03136,664,537,127,109,107,9,1,13,0,0,0,60,17,2,1,0,2,1,1,0,0,16,4,2,0,5,0,0,4,0,0,0,0,0,0,0,0,0
03137,987,770,217,180,173,20,0,10,1,0,0,99,19,7,0,0,16,8,6,0,0,19,4,0,1,0,1,0,0,3,3,0,0,0,0,0,0,2
03138,4865,3665,1200,828,765,217,26,70,10,20,8,93,254,63,17,13,179,31,133,1,12,177,32,6,12,66,1,0,35,0,3,4,9,7,16,11,0,0
03139,33797,25965,7832,5099,4355,334,313,304,136,152,66,1126,1125,744,208,144,989,85,879,7,2,1584,421,61,100,284,88,43,293,18,41,15,97,71,157,59,33,3
03140,35222,31954,3268,973,865,32,236,122,18,18,9,186,210,108,12,35,664,64,561,0,1,1528,49,25,18,521,19,7,691,23,16,17,6,96,103,87,0,0
03901,3288,1220,2068,1944,1659,912,5,58,21,21,7,427,36,285,12,4,36,20,13,0,0,67,15,3,1,19,1,1,2,0,6,0,5,2,21,9,0,0
03902,22050,11679,10371,7892,7170,1098,58,144,49,24,26,4467,537,722,80,129,1224,16,1199,1,0,1137,50,45,35,64,8,9,822,13,17,13,33,13,116,86,3,2
03903,4949,2990,1959,1807,1703,55,229,25,12,19,1,1145,83,104,17,49,44,9,31,1,0,78,22,1,3,26,1,2,5,0,0,2,5,4,29,15,2,1
03904,1806,1604,202,113,107,4,7,22,5,3,0,43,8,6,0,1,22,1,14,0,1,67,6,5,5,20,5,3,12,1,3,1,1,2,0,0,0,0
