codine,Total varones,Total varones menores de 16 años,Total varones de 16 a 64 años,Total varones de 65 y más años,Total mujeres,Total mujeres menores de 16 años,Total mujeres de 16 a 64 años,Total mujeres de 65 y más años,Total extranjeros varones,Total extranjeros varones menores de 16 años,Total extranjeros varones  de 16 a 64 años,Total extranjeros varones de 65 y más años,Total extranjeros mujeres,Total extranjeros mujeres menores de 16 años,Total extranjeros mujeres de 16 a 64 años,Total extranjeros mujeres de 65 y más años,Total población
03120,3379,428,1845,1106,3394,386,1917,1091,1880,181,830,869,1964,164,1022,778,6773
03122,27906,5447,19163,3296,28396,5082,19201,4113,1576,211,1290,75,1683,227,1354,102,56302
03117,329,40,180,109,345,34,190,121,114,5,47,62,118,5,65,48,674
03119,11058,1995,7495,1568,11767,1973,7718,2076,1064,153,811,100,1195,164,915,116,22825
03121,15975,2632,10626,2717,15682,2479,10157,3046,2885,298,1707,880,2715,266,1731,718,31657
03123,4881,809,3332,740,4815,794,3129,892,274,30,192,52,270,20,199,51,9696
03124,317,24,205,88,271,28,140,103,38,4,17,17,32,0,19,13,588
03125,320,43,197,80,290,45,161,84,98,15,53,30,88,8,51,29,610
03127,346,33,216,97,315,33,163,119,139,13,95,31,114,5,76,33,661
03128,5679,778,3131,1770,5781,703,3288,1790,3148,290,1485,1373,3218,255,1676,1287,11460
03129,866,109,554,203,790,93,503,194,121,7,48,66,126,2,72,52,1656
03130,28,1,15,12,24,0,6,18,1,0,1,0,1,0,0,1,52
03131,161,12,84,65,151,14,81,56,59,1,23,35,57,5,23,29,312
03132,391,34,263,94,355,23,219,113,73,8,46,19,67,2,49,16,746
03133,44526,6689,28740,9097,43921,6210,27437,10274,19568,2406,13361,3801,18275,2219,12144,3912,88447
03134,87,4,50,33,82,7,44,31,6,0,0,6,7,0,3,4,169
03136,331,25,219,87,278,27,155,96,63,9,45,9,50,3,35,12,609
03137,419,40,249,130,407,28,228,151,46,4,28,14,54,8,36,10,826
03135,131,7,86,38,118,7,63,48,10,0,6,4,8,0,6,2,249
03138,2293,349,1501,443,2334,319,1458,557,427,44,273,110,438,53,296,89,4627
03139,16962,2785,11739,2438,16916,2631,11162,3123,3474,518,2548,408,3322,463,2462,397,
03140,17151,2998,11706,2447,17210,2770,11162,3278,1133,226,861,46,1022,207,760,55,
03141,1338,180,813,345,1337,174,794,369,491,40,287,164,487,45,292,150,
