codine,T2002,T2003,T2004,T2005,T2006,T2007,T2008,T2009,T2010,T2011,T2012,T2013,T2014,T2015,T2016,T2017,T2018,T2019,T2020,T2021,P2013,P2014,P2015,P2016,P2017,P2018,P2019,P2020,P2021,VIA2013,VIA2014,VIA2015,VIA2016,VIA2017,VIA2018,VIA2019,VIA2020,VIA2021
03027,1,3,3,12,10,10,18,18,18,18,26,6,18,16,14,6,6,11,6,8,-76.9230769230769,-30.7692307692308,-38.4615384615385,-46.1538461538462,-76.9230769230769,-76.9230769230769,-57.6923076923077,0,-55.5555555555556,-76.9230769230769,200,-11.1111111111111,-12.5,-57.1428571428571,0,83.3333333333333,-45.4545454545455,33.3333333333333
03028,0,0,2,7,7,16,16,16,16,16,16,16,13,13,9,7,7,11,11,6,0,-18.75,-18.75,-43.75,-56.25,-56.25,-31.25,-31.25,-53.8461538461539,0,-18.75,0,-30.7692307692308,-22.2222222222222,0,57.1428571428571,0,-45.4545454545455
03029,82,119,153,170,198,208,209,218,230,233,235,235,202,190,126,137,153,165,147,165,0,-14.0425531914894,-19.1489361702128,-46.3829787234043,-41.7021276595745,-34.8936170212766,-29.7872340425532,-37.4468085106383,-18.3168316831683,0,-14.0425531914894,-5.94059405940594,-33.6842105263158,8.73015873015873,11.6788321167883,7.84313725490196,-10.9090909090909,12.2448979591837
03030,225,247,285,310,354,357,395,417,373,380,394,398,305,307,272,231,244,216,202,237,1.01522842639594,-22.5888324873096,-22.0812182741117,-30.9644670050761,-41.3705583756345,-38.0710659898477,-45.1776649746193,-49.2462311557789,-22.2950819672131,1.01522842639594,-23.3668341708543,0.655737704918039,-11.400651465798,-15.0735294117647,5.62770562770562,-11.4754098360656,-6.48148148148148,17.3267326732673
03031,2346,3012,2944,3606,4076,4539,4949,5282,5492,5627,5780,5912,3217,3203,2137,2222,2322,2643,3119,3389,2.28373702422145,-44.3425605536332,-44.5847750865052,-63.0276816608997,-61.5570934256055,-59.8269896193772,-54.2733564013841,-47.2428958051421,5.34659620764688,2.28373702422145,-45.585250338295,-0.435188063413122,-33.2812987823915,3.97753860552176,4.5004500450045,13.8242894056848,18.0098373060916,8.65662071176659
03032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!
03033,0,0,2,2,2,7,7,9,11,14,14,14,12,8,9,8,7,5,5,5,0,-14.2857142857143,-42.8571428571429,-35.7142857142857,-42.8571428571429,-50,-64.2857142857143,-64.2857142857143,-58.3333333333333,0,-14.2857142857143,-33.3333333333333,12.5,-11.1111111111111,-12.5,-28.5714285714286,0,0
03034,251,455,697,926,1065,1144,1257,1296,1339,1379,1385,926,1097,995,753,795,828,861,882,907,-33.1407942238267,-20.7942238267148,-28.158844765343,-45.6317689530686,-42.5992779783394,-40.216606498195,-37.8339350180505,-4.75161987041037,-17.3199635369189,-33.1407942238267,18.4665226781857,-9.29808568824066,-24.321608040201,5.57768924302789,4.15094339622641,3.98550724637681,2.4390243902439,2.8344671201814
03035,5,6,3,7,7,10,19,28,25,28,27,25,25,26,25,18,18,20,18,16,-7.40740740740741,-7.40740740740741,-3.70370370370371,-7.40740740740741,-33.3333333333333,-33.3333333333333,-25.9259259259259,-28,-36,-7.40740740740741,0,4,-3.84615384615384,-28,0,11.1111111111111,-10,-11.1111111111111
03036,0,0,0,1,1,1,1,4,3,0,0,0,0,0,0,0,0,2,2,2,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,#¡DIV/0!,0,0
03037,13,24,28,39,40,37,40,39,45,41,44,31,28,27,30,28,32,33,38,40,-29.5454545454545,-36.3636363636364,-38.6363636363636,-31.8181818181818,-36.3636363636364,-27.2727272727273,-25,22.5806451612903,42.8571428571429,-29.5454545454545,-9.6774193548387,-3.57142857142857,11.1111111111111,-6.66666666666667,14.2857142857143,3.125,15.1515151515152,5.26315789473684
03038,8,5,9,11,12,25,26,26,27,20,24,24,27,22,21,18,21,23,21,19,0,12.5,-8.33333333333333,-12.5,-25,-12.5,-4.16666666666667,-12.5,-29.6296296296296,0,12.5,-18.5185185185185,-4.54545454545455,-14.2857142857143,16.6666666666667,9.52380952380952,-8.69565217391305,-9.52380952380952
03039,1,6,7,12,12,12,12,12,14,13,13,8,10,10,8,8,7,8,5,4,-38.4615384615385,-23.0769230769231,-23.0769230769231,-38.4615384615385,-38.4615384615385,-46.1538461538462,-38.4615384615385,-37.5,-60,-38.4615384615385,25,0,-20,0,-12.5,14.2857142857143,-37.5,-20
