codine,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,P2013,P2014,P2015,P2016,P2017,P2018,P2019,P2020,P2021,VIA2013,VIA2014,VIA2015,VIA2016,VIA2017,VIA2018,VIA2019,VIA2020,VIA2021
03047,2469,2920,3146,3527,3848,4143,4375,4416,4462,4334,4285,4236,2317,2071,1191,1538,1617,1670,1656,1772,1.14,-45.93,-51.67,-72.21,-64.11,-62.26,-61.03,-60.91,-23.52,-1.14,-45.3,-10.62,-42.49,29.14,5.14,3.28,-0.84,7
03048,182,188,148,188,224,232,242,251,247,251,254,143,158,116,91,86,85,83,109,102,43.7,-37.8,-54.33,-64.17,-66.14,-66.54,-67.32,-23.78,-35.44,-43.7,10.49,-26.58,-21.55,-5.49,-1.16,-2.35,31.33,-6.42
03049,1,9,23,39,53,91,95,114,121,108,110,93,89,93,85,60,48,55,65,73,15.45,-19.09,-15.45,-22.73,-45.45,-56.36,-50,-30.11,-17.98,-15.45,-4.3,4.49,-8.6,-29.41,-20,14.58,18.18,12.31
03050,540,697,734,954,1118,1228,1289,1328,1321,1301,1255,1279,792,801,750,722,664,690,740,781,-1.91,-36.89,-36.18,-40.24,-42.47,-47.09,-45.02,-42.14,-1.39,1.91,-38.08,1.14,-6.37,-3.73,-8.03,3.92,7.25,5.54
03051,1,1,1,1,1,1,1,1,1,1,1,1,3,3,2,4,5,1,1,1,0,200,200,100,300,400,0,0,-66.67,0,200,0,-33.33,100,25,-80,0,0
03052,1,1,1,1,1,1,1,1,1,1,1,1,0,2,2,2,2,2,2,2,0,-100,100,100,100,100,100,100,0,0,-100,0,0,0,0,0,0,0
03053,15,29,121,439,634,822,952,1022,1071,1087,1101,1108,733,611,482,404,397,394,415,430,-0.64,-33.42,-44.5,-56.22,-63.31,-63.94,-64.21,-62.55,-41.34,0.64,-33.84,-16.64,-21.11,-16.18,-1.73,-0.76,5.33,3.61
03054,0,14,23,33,41,50,53,57,60,69,65,71,42,40,40,41,45,47,46,40,-9.23,-35.38,-38.46,-38.46,-36.92,-30.77,-27.69,-35.21,-4.76,9.23,-40.85,-4.76,0,2.5,9.76,4.44,-2.13,-13.04
03055,7,25,76,364,945,1277,1433,1479,1522,1520,1503,959,879,890,792,850,847,787,878,872,36.19,-41.52,-40.79,-47.31,-43.45,-43.65,-47.64,-8.45,-0.8,-36.19,-8.34,1.25,-11.01,7.32,-0.35,-7.08,11.56,-0.68
03056,35,41,52,76,138,194,232,226,248,249,250,209,171,133,123,115,110,106,109,121,16.4,-31.6,-46.8,-50.8,-54,-56,-57.6,-47.85,-29.24,-16.4,-18.18,-22.22,-7.52,-6.5,-4.35,-3.64,2.83,11.01
03057,2,14,13,11,11,16,16,18,18,22,23,4,1,3,8,10,10,8,11,8,82.61,-95.65,-86.96,-65.22,-56.52,-56.52,-65.22,175,700,-82.61,-75,200,166.67,25,0,-20,37.5,-27.27
03058,1,9,10,12,11,13,11,31,36,38,39,35,37,37,26,29,27,27,25,21,10.26,-5.13,-5.13,-33.33,-25.64,-30.77,-30.77,-28.57,-43.24,-10.26,5.71,0,-29.73,11.54,-6.9,0,-7.41,-16
03059,59,118,214,316,383,427,478,479,443,322,310,323,325,321,336,343,369,387,380,448,-4.19,4.84,3.55,8.39,10.65,19.03,24.84,17.65,37.85,4.19,0.62,-1.23,4.67,2.08,7.58,4.88,-1.81,17.89
03060,6,6,6,6,6,4,4,3,3,3,3,3,2,1,1,2,7,5,5,1,0,-33.33,-66.67,-66.67,-33.33,133.33,66.67,66.67,-50,0,-33.33,-50,0,100,250,-28.57,0,-80
03061,6,7,65,219,309,351,424,436,454,461,468,454,295,268,262,195,235,232,228,237,2.99,-36.97,-42.74,-44.02,-58.33,-49.79,-50.43,-49.78,-19.66,-2.99,-35.02,-9.15,-2.24,-25.57,20.51,-1.28,-1.72,3.95
03062,8,21,32,88,98,183,285,346,358,370,377,376,307,285,278,321,270,259,281,263,0.27,-18.57,-24.4,-26.26,-14.85,-28.38,-31.3,-25.27,-14.33,-0.27,-18.35,-7.17,-2.46,15.47,-15.89,-4.07,8.49,-6.41
03063,804,1009,1028,1274,1421,1509,1603,1641,1659,1603,1557,1533,1036,964,936,890,860,902,988,1144,1.54,-33.46,-38.09,-39.88,-42.84,-44.77,-42.07,-35.55,10.42,-1.54,-32.42,-6.95,-2.9,-4.91,-3.37,4.88,9.53,15.79
03064,41,57,133,255,329,403,494,520,452,430,378,317,276,293,266,273,283,311,305,310,16.14,-26.98,-22.49,-29.63,-27.78,-25.13,-17.72,-3.79,12.32,-16.14,-12.93,6.16,-9.22,2.63,3.66,9.89,-1.93,1.64
03065,197,281,396,610,826,943,1012,1038,1070,1072,1077,1104,1018,566,524,562,582,667,704,757,-2.51,-5.48,-47.45,-51.35,-47.82,-45.96,-38.07,-36.23,-25.64,2.51,-7.79,-44.4,-7.42,7.25,3.56,14.6,5.55,7.53
03066,3,11,17,22,27,29,32,37,35,35,40,45,46,38,28,29,33,37,37,51,-12.5,15,-5,-30,-27.5,-17.5,-7.5,-17.78,10.87,12.5,2.22,-17.39,-26.32,3.57,13.79,12.12,0,37.84
03067,2,2,0,1,1,2,2,3,3,3,2,1,1,1,0,0,0,0,0,2,50,-50,-50,-100,-100,-100,-100,-100,100,-50,0,0,-100,0,0,0,0,0
03068,,8,8,8,8,8,8,8,8,7,7,4,3,6,6,6,3,3,3,3,42.86,-57.14,-14.29,-14.29,-14.29,-57.14,-57.14,-25,0,-42.86,-25,100,0,0,-50,0,0,0
03069,224,331,430,528,656,862,1032,1126,1187,1270,1316,1341,772,675,510,528,499,479,531,569,-1.9,-41.34,-48.71,-61.25,-59.88,-62.08,-63.6,-60.4,-26.3,1.9,-42.43,-12.56,-24.44,3.53,-5.49,-4.01,10.86,7.16
03070,21,59,137,309,501,717,996,1071,1099,1114,1163,1175,803,824,677,677,715,756,759,732,-1.03,-30.95,-29.15,-41.79,-41.79,-38.52,-35,-35.4,-8.84,1.03,-31.66,2.62,-17.84,0,5.61,5.73,0.4,-3.56
03071,114,125,145,178,199,437,509,538,566,591,582,588,415,380,331,312,315,356,350,335,-1.03,-28.69,-34.71,-43.13,-46.39,-45.88,-38.83,-40.48,-19.28,1.03,-29.42,-8.43,-12.89,-5.74,0.96,13.02,-1.69,-4.29
03072,0,0,0,0,0,2,14,17,57,47,47,48,45,29,23,26,28,23,25,20,-2.13,-4.26,-38.3,-51.06,-44.68,-40.43,-51.06,-47.92,-55.56,2.13,-6.25,-35.56,-20.69,13.04,7.69,-17.86,8.7,-20
03073,0,0,0,0,2,2,2,2,6,5,5,7,7,3,5,4,4,3,3,2,-40,40,-40,0,-20,-20,-40,-57.14,-71.43,40,0,-57.14,66.67,-20,0,-25,0,-33.33
03074,2,3,4,5,8,9,8,5,3,4,4,4,4,3,5,4,3,3,3,3,0,0,-25,25,0,-25,-25,-25,-25,0,0,-25,66.67,-20,-25,0,0,0
03075,1,0,5,8,8,9,11,11,14,18,17,15,17,19,20,16,18,21,21,20,11.76,0,11.76,17.65,-5.88,5.88,23.53,40,17.65,-11.76,13.33,11.76,5.26,-20,12.5,16.67,0,-4.76
