codine,Total Población,Total Extranjeros,Total Europa,Total Unión Europea (27),Resto de Europa,Total Africa,Total América,Total Asia,Oceanía y Apátridas,% Total Extranjeros,% Total Europa,% Total Unión Europea (27),% Resto de Europa,% Total Africa,% Total América,% Total Asia,% Oceanía y Apátridas
03093,26525,2095,733,642,91,316,1023,23,0,7.9,2.76,2.42,0.34,1.19,3.86,0.09,0
03094,15519,6725,5832,5150,682,189,651,47,6,43.33,37.58,33.19,4.39,1.22,4.19,0.3,0.04
03095,6217,941,478,372,106,197,251,15,0,15.14,7.69,5.98,1.71,3.17,4.04,0.24,0
03096,7622,530,301,291,10,35,164,30,0,6.95,3.95,3.82,0.13,0.46,2.15,0.39,0
03097,2503,1318,1250,1217,33,15,46,6,1,52.66,49.94,48.62,1.32,0.6,1.84,0.24,0.04
03098,758,233,216,211,5,4,12,1,0,30.74,28.5,27.84,0.66,0.53,1.58,0.13,0
03099,80468,29758,24813,22283,2530,1476,3054,410,5,36.98,30.84,27.69,3.14,1.83,3.8,0.51,0.01
03100,1061,410,398,393,5,8,3,1,0,38.64,37.51,37.04,0.47,0.75,0.28,0.09,0
03101,7097,1694,1419,1317,102,114,148,10,3,23.87,19.99,18.56,1.44,1.61,2.09,0.14,0.04
03102,10878,2038,1702,1472,230,128,184,21,3,18.74,15.65,13.53,2.11,1.18,1.69,0.19,0.03
03103,330,12,6,6,0,2,4,0,0,3.64,1.82,1.82,0,0.61,1.21,0,0
03104,33486,1198,301,232,69,70,759,68,0,3.58,0.9,0.69,0.21,0.21,2.27,0.2,0
03105,7442,871,543,445,98,50,264,14,0,11.7,7.3,5.98,1.32,0.67,3.55,0.19,0
03106,803,90,86,83,3,0,4,0,0,11.21,10.71,10.34,0.37,0,0.5,0,0
03107,3869,1344,1059,970,89,84,196,5,0,34.74,27.37,25.07,2.3,2.17,5.07,0.13,0
03109,3901,559,115,97,18,329,115,0,0,14.33,2.95,2.49,0.46,8.43,2.95,0,0
03110,635,296,281,260,21,7,8,0,0,46.61,44.25,40.94,3.31,1.1,1.26,0,0
03111,6982,773,236,228,8,283,252,2,0,11.07,3.38,3.27,0.11,4.05,3.61,0.03,0
03112,1090,370,352,344,8,8,9,1,0,33.94,32.29,31.56,0.73,0.73,0.83,0.09,0
03113,17543,12587,11944,10594,1350,259,283,100,1,71.75,68.08,60.39,7.7,1.48,1.61,0.57,0.01
03114,2467,547,485,485,0,4,55,1,2,22.17,19.66,19.66,0,0.16,2.23,0.04,0.08
03115,457,154,122,122,0,31,1,0,0,33.7,26.7,26.7,0,6.78,0.22,0,0
03116,1522,215,193,192,1,2,20,0,0,14.13,12.68,12.61,0.07,0.13,1.31,0,0
03117,727,230,205,182,23,16,9,0,0,31.64,28.2,25.03,3.16,2.2,1.24,0,0
03118,10583,8031,7640,7363,277,262,100,28,1,75.89,72.19,69.57,2.62,2.48,0.94,0.26,0.01
