id,codine,nombre_codine,p2002,e2002,p2003,e2003,p2004,e2004,p2005,e2005,p2006,e2006,p2007,e2007,p2008,e2008,p2009,e2009,p2010,e2010,p2011,e2011,p2012,e2012,p2013,e2013,p2014,e2014,p2015,e2015,p2016,e2016,p2017,e2017,p2018,p2018,p2019,e2019
63,03063,03063 Dénia,34686,6856,37773,9214,38584,9653,40601,11217,41591,11827,42704,12693,44035,13624,44464,13799,44498,13586,44726,13504,44455,12997,44450,12443,41672,9426,41553,9146,41465,8918,41568,8781,41733,8712,42166,9141
64,03064,03064 Dolores,6397,377,6561,554,6863,777,7095,1015,6786,786,6954,953,7313,1257,7427,1300,7392,1243,7398,1270,7362,1215,7314,1177,7237,1100,7246,1110,7264,1105,7302,1119,7383,1187,7470,1286
65,03065,03065 Elche/Elx,201731,7226,207163,11048,209439,14382,215137,18666,219032,21025,222422,23732,228348,28902,230112,29266,230822,29308,230354,28195,230587,27999,230224,26918,228647,24991,227312,22117,227659,21638,228675,21594,230625,22814,232517,24409
66,03066,03066 Elda,53103,1860,54086,2411,55576,2878,55571,3174,55138,3008,55289,3471,55174,3712,55168,3941,54815,3794,54610,3436,54536,3249,54056,3046,53540,2582,53248,2377,52745,2261,52620,2210,52404,2312,52618,2679
67,03067,03067 Facheca,111,2,112,2,103,0,98,1,93,1,119,3,108,4,106,4,107,4,108,4,104,3,101,2,104,4,103,3,107,3,101,3,101,3,106,6
68,03068,03068 Famorca,61,668,71,13,65,13,63,14,54,11,53,12,48,12,44,11,38,11,62,11,59,10,51,6,52,8,52,10,58,11,57,10,53,6,47,5
69,03069,03069 Finestrat,2550,144,2858,914,3377,1203,3797,1494,4172,1674,4945,2127,5844,2666,6137,2894,6386,3040,6807,3279,6932,3453,7095,3604,6265,2668,6239,2501,6090,2296,6292,2358,6381,2432,6715,2637
70,03070,03070 Formentera del Segura,2255,350,2403,267,2588,460,2898,741,3173,962,3518,1287,4118,1815,4285,1951,4364,1959,4389,1975,4559,2104,4629,2123,4211,1667,4206,1665,3995,1443,4064,1489,4131,1556,4191,1598
71,03071,03071 Gata de Gorgos,5106,2,5120,462,5212,581,5375,721,5551,881,5969,1233,6195,1417,6291,1497,6292,1499,6283,1492,6327,1497,6270,1449,5985,1180,5885,1107,5825,1038,5804,1024,5893,1087,6049,1242
72,03072,03072 Gaianes,317,2,329,2,344,3,340,3,347,2,376,7,380,19,378,23,443,71,442,62,445,64,446,64,449,59,457,48,452,45,448,39,471,46,452,44
73,03073,03073 Gorga,259,50,252,2,261,6,256,5,250,6,248,4,235,5,232,6,256,13,254,12,261,12,264,16,274,14,275,8,267,10,273,14,258,13,249,10
74,03074,03074 Granja de Rocamora,2089,18,2039,127,2066,133,2099,201,2093,181,2271,222,2323,285,2362,300,2372,328,2463,343,2461,341,2437,350,2417,345,2425,346,2461,385,2469,383,2489,388,2580,441
75,03075,"03075 Castell de Guadalest, el",189,1895,194,24,204,34,207,39,204,32,215,42,217,43,231,55,246,59,240,63,238,58,236,61,226,52,224,53,220,54,205,43,209,52,217,56
76,03076,03076 Guardamar del Segura,10732,170,11587,2618,12215,3054,13122,3823,14261,4795,15132,5460,15951,6142,16329,6518,16423,6615,16863,6812,17138,6885,16957,6784,15599,5321,15589,5241,15386,5026,14716,4272,15058,4514,15348,4758
77,03077,"03077 Fondó de les Neus, el/Hondón de las Nieves",1713,60,1770,250,1936,384,2162,597,2312,734,2501,904,2730,1113,2862,1254,2948,1322,3010,1373,3037,1390,3041,1401,2632,1012,2583,966,2493,880,2436,857,2474,870,2544,931
78,03078,03078 Hondón de los Frailes,634,761,709,134,883,305,1023,471,1109,563,1231,650,1205,623,1214,639,1202,631,1217,639,1238,651,1217,637,1095,514,1160,582,1165,592,1102,534,1132,566,1198,629
79,03079,03079 Ibi,22140,68,22744,1235,22967,1444,23059,1487,23360,1688,23609,1846,24093,2241,24113,2229,23861,1985,23683,1779,23616,1712,23634,1683,23456,1462,23321,1295,23365,1225,23423,1225,23403,1207,23489,1316
